Island,SampleID,Samplename,Experiment,SiteNumber,SiteName,Replicate,Sample_type,Sample_location,Reef_area,Lat,Long,Dcrest,Disland,Dlagoon,Temp,DO,pH,MaxDepth.m,TP.mg.kg,TKN.mg.kg,TOCpercent,NoxasN.mg.kg,TN.mg.kg,NP,Observed,Chao1,Shannon,Simpson,Chla,Pheo,ChlPheo,MeanGrainsize,Sorting,Skewness,Kurtosis,D50um,GRAVELpercent,SANDpercent,MUDpercent
OTI,Alt1-a-Edge,Alt1_a_Edge,Patch,Alt1,Alt1,1,Sediment,Edge,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,218,250,0.21,0.1,250,1.15,1016,1433.014563,6.484791164,0.997542341,3.19374,1.851912,1.489208633,2.224408963,1.213285673,-0.010479841,1.204288937,211.6507846,0.004693743,0.920804715,0.074501542
OTI,Alt1-b-Edge,Alt1_b_Edge,Patch,Alt1,Alt1,2,Sediment,Edge,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,218,250,0.21,0.1,250,1.15,561,636.03,5.826790352,0.995433139,NA,NA,NA,1.937047928,1.282438708,-0.056831539,1.143482621,248.9797542,0.009659455,0.932566101,0.057774443
OTI,Alt1-c-Edge,Alt1_c_Edge,Patch,Alt1,Alt1,3,Sediment,Edge,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,218,250,0.21,0.1,250,1.15,938,1225.246305,6.400559303,0.997403937,NA,NA,NA,2.012423521,1.259480159,-0.03530869,1.16758675,240.8051475,0.008962232,0.929533605,0.061504164
OTI,Alt1-a-Inner,Alt1_a_Inner,Patch,Alt1,Alt1,1,Sediment,Inner,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,314,390,0.22,0.1,390,1.24,870,1132.906077,6.273046185,0.996816802,4.50684,2.696166,1.512953368,0.418754106,1.19072433,0.242113866,1.10568685,834.4295655,0.08063436,0.900227169,0.019138471
OTI,Alt1-b-Inner,Alt1_b_Inner,Patch,Alt1,Alt1,2,Sediment,Inner,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,314,390,0.22,0.1,390,1.24,547,603.875,5.80924213,0.995150305,NA,NA,NA,0.41893983,1.076257409,0.172734769,1.085221589,797.0385492,0.066641554,0.920707568,0.012650879
OTI,Alt1-c-Inner,Alt1_c_Inner,Patch,Alt1,Alt1,3,Sediment,Inner,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,314,390,0.22,0.1,390,1.24,1015,1474.026549,6.394622742,0.99707704,NA,NA,NA,0.225925107,0.984445842,0.144595142,1.125082274,888.1445788,0.082289716,0.905895522,0.011814762
OTI,Alt1-a-Outer,Alt1_a_Outer,Patch,Alt1,Alt1,1,Sediment,Outer,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,211,270,0.2,0.1,270,1.28,376,390.1714286,5.490461239,0.993991101,3.19434,1.90638,1.510948905,1.526200165,1.230441207,-0.034549846,0.959703095,335.5202656,0.0108934,0.959454408,0.029652192
OTI,Alt1-b-Outer,Alt1_b_Outer,Patch,Alt1,Alt1,2,Sediment,Outer,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,211,270,0.2,0.1,270,1.28,817,1042.833333,6.252135032,0.997107168,NA,NA,NA,1.476607615,1.212707689,-0.002790897,0.938902299,352.9638272,0.006055592,0.966589251,0.027355157
OTI,Alt1-c-Outer,Alt1_c_Outer,Patch,Alt1,Alt1,3,Sediment,Outer,Lagoon1,-23.49845,152.09142,436.6012043,857.9249402,1079.669135,25.88,103.5,8.24,2.18,211,270,0.2,0.1,270,1.28,628,687.0787402,6.00333651,0.996273543,NA,NA,NA,1.466640557,1.154677999,0.005955501,0.943120964,357.708207,0.001408189,0.974858546,0.023733265
OTI,Alt2-a-Edge,Alt2_a_Edge,Patch,Alt2,Alt2,1,Sediment,Edge,Lagoon1,-23.48746,152.08144,637.5753848,2227.702778,1067.83367,24.34,93.51,8.23,4.54,321,430,0.27,0.1,430,1.34,1385,2423.225,6.835630242,0.998276541,3.5103,1.9404225,1.456,2.031935747,1.468631436,0.034340453,0.959400268,242.393395,0.000692799,0.903206032,0.096101168
